"Code";"Text"
"B-FA-*-*-G-*";"Hallo [Name], willkommen im Forum, und danke dass Sie uns an Ihren Erfahrungen haben teilhaben lassen."
"B-FA-*-*-G-*";"Hallo [Name], auch von mir willkommen im Forum."
"B-FA-*-*-G-*";"Hallo"
"B-FA-*-*-G-*";"Hallo zusammen"
"B-FA-*-*-G-*";"Hallo, ab heute sind wir für dich da"
"B-FA-*-*-G-*";"Lieber [Name], ich bin [Name] aus dem Beratungsteam"
"B-FA-*-*-G-*";"Hallo [Name], ich bin [Name], eine Beraterin vom Team und werde versuchen dir zu helfen."
"B-FA-*-*-G-*";"Liebe [Name], ich bin [Name] aus dem [Name] Beratungsteam"
"B-FA-*-*-G-*";"Liebe [Name], ich bin [Name] und möchte gerne auf deine Frage antworten."
"B-FA-*-*-G-*";"Hallo [Name] :-)"
"B-FA-*-*-G-*";"Hallo [Name], herzlich willkommen bei [Name]. Es ist schön, dass du dich mit deinen Sorgen an uns wendest und dir Hilfe suchst. Mein Name ist [Name], ich bin ein Teil des Beratungsteams und möchte dich gerne unterstützen."
"B-FA-*-*-G-*";"Hallo, willkommen im Forum."
"B-FA-*-*-G-*";"Hi [Name]"
"B-FA-*-*-G-*";"Grüß dich, [Name]"
"B-FA-*-*-G-*";"Hallo [Name]."
"B-FA-*-*-G-*";"Hallo :-)"
"B-FA-*-*-G-*";"Hi"
"B-FA-*-*-G-*";"Hallo liebe [Name]"
"B-FA-*-*-G-*";"Servus [Name]"
"B-FA-*-*-G-*";"Hallo lieber [Name]"
"B-FA-*-*-G-*";"Hallo [Name], vielen Dank für deine Anfrage."
"B-FA-*-*-G-*";"Hallo, vielen Dank für deine Anfrage."
"B-FA-*-*-G-*";"Hallo [Name], willkommen im Forum."
"B-FA-*-*-G-*";"Guten Morgen"
"B-FA-*-*-G-*";"Lieber [Name]"
"B-FA-*-*-G-*";"Liebe [Name], vielen Dank, dass Du dieses Thema eröffnet hast"
"B-FA-*-*-G-*";"Liebe [Name], vielen Dank, dass du hier ein neues Thema eröffnet und von deiner Situation erzählt hast. Mein Name ist [Name] und ich bin eine der Beraterinnen hier."
"B-FA-*-*-G-*";"Liebe/r [Name], mein Name ist [Name] und auch ich will dich hier im Forum willkommen heißen – schön, dass du zu uns gefunden hast!"
"B-FA-*-*-G-*";"Hallo [Name] und sei herzlich gegrüßt."
"B-FA-*-*-G-*";"Hallo [Name], Herzlich Willkommen im Forum! Schön, dass du zu uns gefunden hast."
"B-FA-*-*-G-*";"Hallo, danke für deine Nachricht."
"B-FA-*-*-G-*";"Hallo [Name]! Du hast zum ersten Mal gepostet und ich möchte Dich herzlich willkommen heißen bei uns im Forum!"
"B-FA-*-*-G-*";"Guten Tag [Name]"
"B-FA-*-*-G-*";"Hallo [Name], willkommen im Forum."
"B-FA-*-*-G-*";"Hallo [Name], du hast heute das erste Mal hier im Forum gepostet, deswegen möchte ich dich herzlich begrüßen!"
"B-FA-*-*-G-*";"Hallo [Name]! Toll, dass du da bist"
"B-FA-*-*-G-*";"Hallo [Name]! Toll, dass du hier bist"
"B-FA-*-*-G-*";"Hallo [Name], zuerst möchte ich dich herzlich willkommen heißen hier im Forum. Ich bin [Name], eine der Moderatorinnen hier."
"B-FA-*-*-G-*";"Hallo [Name], ich bin [Name] und unterstütze gern."
"B-FA-*-*-G-*";"Hallo [Name], sei herzlich willkommen hier bei uns im Forum. Ich bin [Name] und moderiere hier."
"B-FA-*-*-G-*";"Hallo [Name], ich bin [Name] und grüße dich herzlichst."
"B-FA-*-*-G-*";"Hallo [Name], als eine der Moderatorinnen hier im Forum möchte ich dich begrüßen"
"B-FA-*-*-G-*";"hallo [Name]."
"B-FA-*-*-G-*";"Hallo lieber [Name], super dass du hier bist."
"B-FA-*-*-G-*";"Hallo [Name]"
"B-FA-*-*-G-*";"liebe [Name], herzlich willkommen."
"B-FA-*-*-G-*";"Hallo [Name], schön dass du im Forum bist."
